tipo,descripcion_tipo,item,descripcion_item,precio_item
1,Aperitivos,Calypso OG ,"(Ron, curacao azul, crema de coco, jugo de mango y hielo)",3
1,Aperitivos,Pisco sour Ganador,"(Pisco Quebranta y acholado, lim¢n, jarabe, clara de huevo, amargo de angostura)",3
1,Aperitivos,Maracuy  Sour,"(Pisco Quebranta, maracuy , lim¢n, jarabe, clara de huevo)",3
1,Aperitivos,Chilcano de Pisco,"(Pisco Quebranta, lim¢n, amargo de angostura, Ginger Ale)",3
1,Aperitivos,Cocktail de Algarrobina,"(Pisco Quebranta, algarrobina, jarabe, leche, yema de huevo, canela)",3
1,Aperitivos,Macerados de Pisco en,"(Hierba Luisa, Cnela, Aj¡, Aguaymanto y Kion)",3
1,Aperitivos,Daiquiri,"(Ron, jarabe, hielo y Fresa, lim¢n o durazno)",3
1,Aperitivos,Piscina,"(Pisco, ron, vodka, gin, jugo de pi¤a y curacao azul)",3
1,Aperitivos,Sangr¡a,(1 jarra),12
1,Aperitivos,Sangr¡a,(1/2 jarra),6
1,Aperitivos,"Shot de pisco, ron y anis n jar",,3
2,Recomendaciones del Chef,Cebiche OG,"La especialidad de la casa. Perfecta combinaci¢n de pescado y mariscos en cebiche acompa¤ados con Brochetas de Mariscos, todo ba¤ado en salsa de aj¡ amarillo y salsa de rocoto.",12
2,Recomendaciones del Chef,Tiradito OG,"Finas l minas de pescado cocido con lim¢n, ba¤ado por cuatro salsas distintas: de aj¡ amarillo, de olivo, de cebiche tradicional y de rocoto.",12
2,Recomendaciones del Chef,Tacu tacu OG,"Tacu tacu tradicional cubierto de salsa blanca y mariscos, acompa¤ados de brochetas de pescado flambeadas con pisco y una guarnici¢n de pl tanos fritos.",12
2,Recomendaciones del Chef,Lomo fino OG,"Exquisita combinaci¢n de Fetuccini en salsa de rocoto, Lomo fino a la parrilla ba¤ado en salsa de Langostinos y Lomo fino en salsa de Champi¤ones.",18
2,Recomendaciones del Chef,Ronda Marina,"Excelente plato familiar con los mejores sabores marinos: Cebiche de pescado, chicharr¢n de calamar, tiradito en salsa de aj¡ amarillo, arroz con mariscos y causa de pulpa de cangrejo.",25
3,Entradas,Tamal criollo / verde,,15
3,Entradas,Papa a la huanca¡na,,15
3,Entradas,Teque¤os de jam¢n y queso,,15
3,Entradas,Teque¤os de langostinos,,15
3,Entradas,Palta rellena,,15
3,Entradas,Choritos a la chalaca,,15
3,Entradas,Conchitas a la parmesana,,15
3,Entradas,Pulpo al olivo,,15
3,Entradas,Rocoto Relleno,,15
3,Entradas,Causa de pulpa de cangrejo,,15
3,Entradas,causa de pollo ,,15
3,Entradas,Causa De langostinos,,15
4,Cebiches,Cebiche Bah¡a,,15
4,Cebiches,Cebiche de pescado Junior,,15
4,Cebiches,Cebiche de pescado Personal,,15
4,Cebiches,Cebiche mixto,,15
4,Cebiches,Cebiche de conchas negras,,15
4,Cebiches,Cebiche cl sico,(De conchas negras y pescado),15
4,Cebiches,Tiradito OG (4 colores),,15
4,Cebiches,Tiradito tradicional,,15
4,Cebiches,Leche de tigre,(con chicharr¢n).,15
4,Cebiches,Leche de pantera,(con chicharr¢n).,15
5,Chicharrones,Jalea,,15
5,Chicharrones,Jalea de chita,,15
5,Chicharrones,Chicharr¢n de pollo,,15
5,Chicharrones,Chicharr¢n de calamar,,15
5,Chicharrones,Chicharr¢n de langostino,,15
5,Chicharrones,Chicharr¢n de camar¢n,,15
5,Chicharrones,Chicharr¢n mixto,,15
5,Chicharrones,Chicharr¢n de pescado,,15
6,Combinados Marinos,Cebiche y chicharr¢n de calamar,,30
6,Combinados Marinos,Cebiche y arroz con mariscos,,30
6,Combinados Marinos,Triple marino,"(cebiche de pescado, chicharr¢n de calamar y arroz con mariscos)",30
6,Combinados Marinos,Ronda marina,"(Cebiche de pescado, chicharr¢n de calamar, tiradito tradicional, arroz con mariscos y causa de pulpa de cangrejo)",30
7,Sopas,Chilcano especial,,15
7,Sopas,Dieta de pollo,,15
7,Sopas,Sopa a la minuta,,15
7,Sopas,Sopa criolla,,15
7,Sopas,Parihuela,,15
7,Sopas,Chupe de pescado,,15
7,Sopas,Chupe de langostino,,15
7,Sopas,Chupe de camarones,,15
7,Sopas,Sudado de pescado,,15
7,Sopas,Sudado Mixto,,15
8,Arroces,Volc n OG,,16
8,Arroces,Arroz con mariscos,,16
8,Arroces,Risotto con pescado al grill,,16
8,Arroces,Delicia OG,"(Risotto en salsa de hierbas arom ticas coronado con mixtura de exquisitos frutos del mar, trozos de pescado y l minas de tocino al grill)",16
8,Arroces,Chaufa de pollo,,16
8,Arroces,Chaufa de mariscos,,16
8,Arroces,Chaufa de pescado,,16
8,Arroces,Tacu tacu OG,,16
8,Arroces,Tacu tacu a lo pobre,,16
8,Arroces,Tacu tacu de mariscos,,16
8,Arroces,Tacu tacu con lomo saltado,,16
9,Pescados,Pescado frito o plancha,,19
9,Pescados,A lo macho,,19
9,Pescados,Con salsa de langostino,,19
9,Pescados,A la chorrillana,,19
9,Pescados,Escabeche,,19
9,Pescados,Con salsa de champi¤ones,,19
9,Pescados,Pescado saltado,,19
9,Pescados,Chita / lenguado con salsa de langostinos,,19
9,Pescados,Chita/lenguado al ajillo,,19
9,Pescados,Chita / lenguado al ajo,,19
9,Pescados,Chita/lenguado dorada,,19
9,Pescados,Chita/lenguado sudado,,19
9,Pescados,Jalea de chita ,,19
9,Pescados,Chita / Lenguado a lo Macho,,19
9,Pescados,Cabrilla dorada,,19
9,Pescados,Cabrilla sudado,,19
9,Pescados,Cabrilla al ajillo,,19
